,country,year,sector,emissions,emissions_change
319,Luxembourg,2022,Industry,1187092.8,-219334.15999999992
322,Luxembourg,2023,Industry,962216.76,-224876.04000000004
308,Luxembourg,2018,Transport,4863547.97,
311,Luxembourg,2019,Transport,5360053.36,496505.3900000006
314,Luxembourg,2020,Transport,4850799.58,-509253.78000000026
317,Luxembourg,2021,Transport,4839668.22,-11131.360000000335
320,Luxembourg,2022,Transport,5255362.87,415694.6500000004
323,Luxembourg,2023,Transport,5042464.71,-212898.16000000015
324,Malta,2018,Energy,699768.52,
327,Malta,2019,Energy,741152.53,41384.01000000001
330,Malta,2020,Energy,811967.37,70814.83999999997
333,Malta,2021,Energy,773371.2,-38596.17000000004
336,Malta,2022,Energy,798504.15,25132.95000000007
339,Malta,2023,Energy,800763.32,2259.1699999999255
325,Malta,2018,Industry,88382.33,
328,Malta,2019,Industry,86407.11,-1975.2200000000012
331,Malta,2020,Industry,88994.11,2587.0
334,Malta,2021,Industry,89817.34,823.2299999999959
337,Malta,2022,Industry,94018.18000000001,4200.840000000011
340,Malta,2023,Industry,85425.45000000001,-8592.729999999996
326,Malta,2018,Transport,560151.22,
329,Malta,2019,Transport,1129081.45,568930.23
332,Malta,2020,Transport,843824.5,-285256.94999999995
335,Malta,2021,Transport,1367665.05,523840.55000000005
338,Malta,2022,Transport,1833592.2,465927.1499999999
341,Malta,2023,Transport,3375600.6,1542008.4000000001
342,Poland,2018,Energy,150441660.55,
345,Poland,2019,Energy,136719135.23,-13722525.320000023
348,Poland,2020,Energy,125610317.23,-11108817.999999985
351,Poland,2021,Energy,146687250.29,21076933.059999987
354,Poland,2022,Energy,140918614.79,-5768635.5
357,Poland,2023,Energy,114429233.39,-26489381.39999999
343,Poland,2018,Industry,91730755.28,
346,Poland,2019,Industry,89302231.13999999,-2428524.1400000155
349,Poland,2020,Industry,86542845.48,-2759385.6599999815
352,Poland,2021,Industry,87215109.28,672263.799999997
355,Poland,2022,Industry,81756778.62,-5458330.659999996
358,Poland,2023,Industry,76040201.9,-5716576.719999999
344,Poland,2018,Transport,12759303.98,
347,Poland,2019,Transport,41583176.17,28823872.19
350,Poland,2020,Transport,39529416.04,-2053760.1300000027
353,Poland,2021,Transport,47416263.8,7886847.759999998
356,Poland,2022,Transport,50039572.96,2623309.160000004
359,Poland,2023,Transport,48656173.99,-1383398.9699999988
360,Portugal,2018,Energy,15371779.7,
363,Portugal,2019,Energy,10553057.6,-4818722.1
366,Portugal,2020,Energy,7962001.3,-2591056.3
369,Portugal,2021,Energy,6170694.8,-1791306.5
372,Portugal,2022,Energy,6552944.1,382249.2999999998
375,Portugal,2023,Energy,4236800.6,-2316143.5
361,Portugal,2018,Industry,15047914.9,
364,Portugal,2019,Industry,15491949.2,444034.2999999989
367,Portugal,2020,Industry,15022155.1,-469794.0999999996
370,Portugal,2021,Industry,14547160.7,-474994.4000000004
373,Portugal,2022,Industry,13841576.9,-705583.7999999989
376,Portugal,2023,Industry,11248436.3,-2593140.5999999996
362,Portugal,2018,Transport,8937320.51,
365,Portugal,2019,Transport,9473900.27,536579.7599999998
368,Portugal,2020,Transport,5691843.97,-3782056.3
371,Portugal,2021,Transport,7268302.38,1576458.4100000001
374,Portugal,2022,Transport,9004652.47,1736350.0900000008
377,Portugal,2023,Transport,9536104.69,531452.2199999988
378,Romania,2018,Energy,26241893.04,
381,Romania,2019,Energy,22684031.41,-3557861.629999999
384,Romania,2020,Energy,19125578.32,-3558453.09
387,Romania,2021,Energy,19821050.66,695472.3399999999
390,Romania,2022,Energy,19150225.7,-670824.9600000009
393,Romania,2023,Energy,16523592.14,-2626633.5599999987
379,Romania,2018,Industry,31793925.16,
382,Romania,2019,Industry,32034167.07,240241.91000000015
385,Romania,2020,Industry,32458858.32,424691.25
388,Romania,2021,Industry,32572556.38,113698.05999999866
391,Romania,2022,Industry,28002015.76,-4570540.619999997
394,Romania,2023,Industry,24284483.400000002,-3717532.3599999994
380,Romania,2018,Transport,6444793.91,
383,Romania,2019,Transport,6796640.46,351846.5499999998
386,Romania,2020,Transport,6017885.5,-778754.96
389,Romania,2021,Transport,6379410.43,361524.9299999997
392,Romania,2022,Transport,6675107.06,295696.6299999999
395,Romania,2023,Transport,6730486.95,55379.890000000596
396,Slovakia,2018,Energy,6561281.39,
399,Slovakia,2019,Energy,6260655.39,-300626.0
402,Slovakia,2020,Energy,5785310.94,-475344.44999999925
405,Slovakia,2021,Energy,6345539.57,560228.6299999999
408,Slovakia,2022,Energy,5533261.37,-812278.2000000002
